term_month_year,ta_name,student_id,legal_name,email,grad_ugrad,supervisor_name,priority,hours,date_applied,location,phone,text,courses_applied_for,open_to_other_courses,notes
10/2021,Miriam Yates,830685882,Cora Petty,ipsum.curabitur.consequat@icloud.edu,g,Philip Marks,No,90,2/13/2023,South Australia,1-384-626-6284,appliance magnify,4,Yes,implant net makeshift common speak indicate direction broadcast economic
7/2021,Graiden Delgado,177464887,Ralph Valentine,maecenas.malesuada@aol.net,u,Ocean Freeman,Yes,180,11/18/2021,Victoria,1-756-961-3422,friction knowledgeable building,9,Yes,common speak
2/2023,Hedy Durham,843338642,Mary Kelley,et.rutrum@google.edu,g,Hillary Mccoy,Yes,180,11/27/2022,Western Cape,1-525-726-2266,wound,7,No,own hold bite sister uncovered weave
9/2021,Griffin Garcia,274515115,Wanda Poole,tempor.arcu@hotmail.ca,u,Warren Howard,No,180,4/21/2021,Dōngběi,1-427-645-5470,knowledgeable building fight,9,No,implant net
2/2023,Hu Bowman,855267179,Walker Jones,dui@hotmail.couk,u,Matthew Nguyen,No,180,3/11/2023,Zachodniopomorskie,(474) 266-7973,weave friction,10,Yes,peace sack flowery two tempt doll
12/2021,Nevada Fox,385757684,Maris Church,nec.imperdiet@outlook.couk,u,Samuel Vazquez,Yes,90,7/5/2022,Lower Austria,(399) 475-0552,hatch appliance,4,Yes,hatch appliance
11/2022,Hanae Baldwin,641568483,Tanya Silva,ut@hotmail.net,g,Upton Hale,No,90,5/2/2021,North Island,(326) 813-3561,doll wire,2,No,magnify bean
1/2022,Ashton Webster,843116516,Yasir Stein,tellus.lorem@protonmail.edu,u,Jordan Burns,Yes,180,5/16/2022,Cherkasy oblast,(687) 919-1548,building,2,Yes,makeshift
8/2022,Zachery Gaines,421344119,Mara Wallace,ut.odio.vel@google.edu,g,Keane Wilkins,Yes,180,9/13/2021,North Island,1-852-692-4570,indicate,3,Yes,encourage noiseless implant net makeshift common speak
5/2022,Tanya Stone,653568298,Blythe Shields,non.luctus.sit@protonmail.net,g,George Massey,Yes,180,8/16/2021,Dōngběi,(440) 443-4196,wire,6,Yes,wire boundless abortive quizzical secretary cute
10/2021,Echo Ashley,585130228,Emma Haney,risus@outlook.com,g,Cade Torres,Yes,180,2/4/2023,Burgenland,(647) 361-8637,noiseless implant,8,Yes,uncovered weave friction knowledgeable building fight guide process victorious
3/2022,Calista Conrad,668506902,Matthew Becker,aliquam.arcu@outlook.net,g,Ariana Beck,No,90,12/1/2022,Cajamarca,1-623-382-5120,speak indicate,9,No,own hold bite sister uncovered weave friction knowledgeable building
4/2022,Ifeoma Ochoa,232235858,Rebecca Bond,imperdiet.nec@protonmail.ca,u,Jakeem Torres,Yes,90,11/27/2022,Cagayan Valley,1-645-404-4261,faucet,3,No,quizzical secretary cute
9/2022,Brenden Mcdaniel,563719472,Celeste Medina,eget.laoreet.posuere@icloud.ca,u,Breanna Henson,No,90,4/10/2022,Cantabria,(637) 811-2889,victorious head,3,No,implant net makeshift common speak
1/2022,Odessa Newton,876671804,Cara Frederick,quam.quis.diam@aol.edu,u,Urielle Jimenez,No,90,11/7/2021,Chocó,(333) 237-3946,magnify,9,No,cute impartial reward hatch appliance magnify bean
